text@tsa1989f	@tsa1989f	31.19	33.22	Ну мне кажется Маша очень расстроилась //
text@tsa1989f	@tsa1989f	33.23	34.6	Давайте будем поднимать настроение //
text@tsa1989f	@tsa1989f	49.21	51.26	Мы знаем что вы максималистка / Миша //
text@tsa1989f	@tsa1989f	60.905	62.12	У вас тут живая Шарапова сидит а они в телефоны уткнулись //
text@tsa1989f	@tsa1989f	65.267	67.856	У Миши Южного вопрос есть //
text@tsa1989f	@tsa1989f	126.298	128.694	Мы уверены что вы сюда еще вернетесь //
text@tsa1989f	@tsa1989f	128.694	129.894	Расскажите пожалуйста... //
text@tsa1989f	@tsa1989f	132.357	133.799	Как турист почему нет? //
text@tsa1989f	@tsa1989f	146.294	157.757	Миша себя чувствует в Санкт-Петербурге как дома / практически обожает этот турнир да / и даже последний матч в карьере Михаила Южного друзья вы все помните был здесь в Санкт-Петербурге на Сибур-Арене //
text@tsa1989f	@tsa1989f	157.894	159.694	У меня вопрос по поводу зимы //
text@tsa1989f	@tsa1989f	159.747	164.631	Вы так радовались в Инстграмме когда снег увидели / последний раз когда такое было //
text@tsa1989f	@tsa1989f	181.632	186.213	Вы у нас очень стильная спортсменка но ээ / теплые вещи все-таки имеются? //
text@tsa1989f	@tsa1989f	189.82	192.269	Валенки надо прио... приобретать 
text@tsa1989f	@tsa1989f	193.754	201.846	А последний мой и Мишин вопрос в этой части нашей беседы ээ самое вкусное что вы упели съесть в Санкт-Петербурге? //
text@tsa1989f	@tsa1989f	202.193	204.397	Сырники? Порадуйте нас пожалуйста //
text@tsa1989f	@tsa1989f	207.152	208.601	Сегодня будет час пик... //
text@tsa1989f	@tsa1989f	221.458	223.427	Что можно да рискнуть все-таки //
text@tsa1989f	@tsa1989f	224.753	225.61	И блинчики //
text@tsa1989f	@tsa1989f	225.734	229.274	С икрой / я видела то / что вы бутерброд с икрой ели //
text@tsa1989f	@tsa1989f	233.744	236.305	Хорошо / друзья теперь настало ваше время //
text@tsa1989f	@tsa1989f	236.315	241.784	Пожалуйста / у вас есть возможность уникальная / задать вопрос Марии Шараповой //
text@tsa1989f	@tsa1989f	241.805	245.346	Давайте такие человеческие хорошие вопросы будем Маше задавать //
text@tsa1989f	@tsa1989f	245.427	248.08	Друзья / и вот сразу увидела прекрасную... //
text@tsa1989f	@tsa1989f	249.438	258.652	Человеческие ну конечно / самой вот первой кто кто руку подняла / вот эта вот девушка прекрасная в / первом ряду / пожалуйста я хотела бы попросить микрофон //
text@tsa1989f	@tsa1989f	258.999	259.764	Спасибо да //
text@tsa1989f	@tsa1989f	268.265	270.663	Мы не слышим давайте погромче //
text@tsa1989f	@tsa1989f	270.663	275.612	Микрофончик выведем звукорежиссер товарищ / отлично давайте еще раз попробуем //
text@tsa1989f	@tsa1989f	295.912	297.433	Даа хороший вопрос //
text@aaa1993f	@aaa1993f	260.948	268.244	Мария во-первых спасибо вам за тот праздник хоть и короткий который принес нам / который принесло нам ваше присутствие //
text@aaa1993f	@aaa1993f	275.907	282.05	Хотелось / поблагодарить вас за тот праздник который принесло нам ваше присутствие / короткое но такое яркое //
text@aaa1993f	@aaa1993f	282.704	291.928	Вот / и хотелось спросить / писали что / вот матч который был в понедельник это / ваша первая победа в России начиная с 2007 года //
text@aaa1993f	@aaa1993f	292.121	295.489	Вот / правда что вам в России сложнее играть несмотря на такую поддержку? //
words@smu1987f	@smu1987f	3.47	3.606	Да
words@smu1987f	@smu1987f	3.606	3.742	/
words@smu1987f	@smu1987f	3.742	3.88	/
words@smu1987f	@smu1987f	4.47	4.83	Да
words@smu1987f	@smu1987f	4.83	5.19	к
words@smu1987f	@smu1987f	5.19	5.55	сожалению
words@smu1987f	@smu1987f	5.55	5.91	/
words@smu1987f	@smu1987f	5.91	6.27	меня
words@smu1987f	@smu1987f	6.27	6.63	уже
words@smu1987f	@smu1987f	6.63	6.99	/
words@smu1987f	@smu1987f	6.99	7.35	наверно
words@smu1987f	@smu1987f	7.35	7.71	несколько
words@smu1987f	@smu1987f	7.71	8.07	месяцев
words@smu1987f	@smu1987f	8.07	8.43	мучает
words@smu1987f	@smu1987f	8.43	8.79	плечо
words@smu1987f	@smu1987f	8.79	9.15	/
words@smu1987f	@smu1987f	9.15	9.51	/
words@smu1987f	@smu1987f	9.63	9.9	Эм
words@smu1987f	@smu1987f	9.9	10.17	в
words@smu1987f	@smu1987f	10.17	10.44	декабре
words@smu1987f	@smu1987f	10.44	10.71	казалось
words@smu1987f	@smu1987f	10.71	10.98	все
words@smu1987f	@smu1987f	10.98	11.25	было
words@smu1987f	@smu1987f	11.25	11.52	лучше
words@smu1987f	@smu1987f	11.52	11.79	/
words@smu1987f	@smu1987f	11.79	12.06	/
words@smu1987f	@smu1987f	12.07	12.338	Я
words@smu1987f	@smu1987f	12.338	12.606	сыграла
words@smu1987f	@smu1987f	12.606	12.874	так
words@smu1987f	@smu1987f	12.874	13.142	ну
words@smu1987f	@smu1987f	13.142	13.41	нормально
words@smu1987f	@smu1987f	13.41	13.678	в
words@smu1987f	@smu1987f	13.678	13.946	Австралии
words@smu1987f	@smu1987f	13.946	14.214	/
words@smu1987f	@smu1987f	14.214	14.49	/
words@smu1987f	@smu1987f	14.505	14.748	Думала
words@smu1987f	@smu1987f	14.748	14.991	еще
words@smu1987f	@smu1987f	14.991	15.234	турнир
words@smu1987f	@smu1987f	15.234	15.477	здесь
words@smu1987f	@smu1987f	15.477	15.72	сыграю
words@smu1987f	@smu1987f	15.72	15.963	/
words@smu1987f	@smu1987f	15.963	16.21	/
words@smu1987f	@smu1987f	16.21	16.503	И
words@smu1987f	@smu1987f	16.503	16.796	потом
words@smu1987f	@smu1987f	16.796	17.089	начну
words@smu1987f	@smu1987f	17.089	17.382	опять
words@smu1987f	@smu1987f	17.382	17.675	работать
words@smu1987f	@smu1987f	17.675	17.968	над
words@smu1987f	@smu1987f	17.968	18.261	плечом
words@smu1987f	@smu1987f	18.261	18.554	/
words@smu1987f	@smu1987f	18.554	18.85	/
words@smu1987f	@smu1987f	18.86	19.121	Но
words@smu1987f	@smu1987f	19.121	19.382	к
words@smu1987f	@smu1987f	19.382	19.643	сожалению
words@smu1987f	@smu1987f	19.643	19.904	после
words@smu1987f	@smu1987f	19.904	20.165	первого
words@smu1987f	@smu1987f	20.165	20.426	матча
words@smu1987f	@smu1987f	20.426	20.687	/
words@smu1987f	@smu1987f	20.687	20.948	мне
words@smu1987f	@smu1987f	20.948	21.209	вчера
words@smu1987f	@smu1987f	21.209	21.47	была
words@smu1987f	@smu1987f	21.47	21.731	тренировка
words@smu1987f	@smu1987f	21.731	21.992	двадцать
words@smu1987f	@smu1987f	21.992	22.253	минут
words@smu1987f	@smu1987f	22.253	22.514	/
words@smu1987f	@smu1987f	22.514	22.78	/
words@smu1987f	@smu1987f	22.78	23.055	И
words@smu1987f	@smu1987f	23.055	23.33	сегодня
words@smu1987f	@smu1987f	23.33	23.605	просто
words@smu1987f	@smu1987f	23.605	23.88	не
words@smu1987f	@smu1987f	23.88	24.155	с...
words@smu1987f	@smu1987f	24.155	24.43	не
words@smu1987f	@smu1987f	24.43	24.705	смогла
words@smu1987f	@smu1987f	24.705	24.98	выйти
words@smu1987f	@smu1987f	24.98	25.255	и
words@smu1987f	@smu1987f	25.255	25.53	сыграть
words@smu1987f	@smu1987f	25.53	25.805	сто
words@smu1987f	@smu1987f	25.805	26.08	процентов
words@smu1987f	@smu1987f	26.08	26.355	/
words@smu1987f	@smu1987f	26.355	26.63	/
words@smu1987f	@smu1987f	26.63	26.923	И
words@smu1987f	@smu1987f	26.923	27.216	против
words@smu1987f	@smu1987f	27.216	27.509	Касаткиной
words@smu1987f	@smu1987f	27.509	27.802	это
words@smu1987f	@smu1987f	27.802	28.095	/
words@smu1987f	@smu1987f	28.095	28.388	сто
words@smu1987f	@smu1987f	28.388	28.681	процентов
words@smu1987f	@smu1987f	28.681	28.974	это
words@smu1987f	@smu1987f	28.974	29.267	то
words@smu1987f	@smu1987f	29.267	29.56	что
words@smu1987f	@smu1987f	29.56	29.853	надо
words@smu1987f	@smu1987f	29.853	30.146	было
words@smu1987f	@smu1987f	30.146	30.439	/
words@smu1987f	@smu1987f	30.439	30.74	/
words@smu1987f	@smu1987f	34.915	36.275	#смеется#
words@smu1987f	@smu1987f	36.285	36.588	Ну
words@smu1987f	@smu1987f	36.588	36.891	конечно
words@smu1987f	@smu1987f	36.891	37.194	расстроилась
words@smu1987f	@smu1987f	37.194	37.497	/
words@smu1987f	@smu1987f	37.497	37.8	/
words@smu1987f	@smu1987f	37.8	38.056	Я
words@smu1987f	@smu1987f	38.056	38.312	хоте...
words@smu1987f	@smu1987f	38.312	38.568	я
words@smu1987f	@smu1987f	38.568	38.824	знаю
words@smu1987f	@smu1987f	38.824	39.08	что
words@smu1987f	@smu1987f	39.08	39.336	вся
words@smu1987f	@smu1987f	39.336	39.592	сегодня
words@smu1987f	@smu1987f	39.592	39.848	публика
words@smu1987f	@smu1987f	39.848	40.104	при...
words@smu1987f	@smu1987f	40.104	40.36	пришла
words@smu1987f	@smu1987f	40.36	40.616	чтобы
words@smu1987f	@smu1987f	40.616	40.872	посмотреть
words@smu1987f	@smu1987f	40.872	41.128	этот
words@smu1987f	@smu1987f	41.128	41.384	матч
words@smu1987f	@smu1987f	41.384	41.64	/
words@smu1987f	@smu1987f	41.64	41.9	/
words@smu1987f	@smu1987f	41.9	42.247	Вечерняя
words@smu1987f	@smu1987f	42.247	42.594	сессия
words@smu1987f	@smu1987f	42.594	42.941	конечно
words@smu1987f	@smu1987f	42.941	43.288	/
words@smu1987f	@smu1987f	43.288	43.635	но
words@smu1987f	@smu1987f	43.635	43.982	к
words@smu1987f	@smu1987f	43.982	44.329	сожалению
words@smu1987f	@smu1987f	44.329	44.676	просто
words@smu1987f	@smu1987f	44.676	45.023	не
words@smu1987f	@smu1987f	45.023	45.37	смогла
words@smu1987f	@smu1987f	45.37	45.717	сыграть
words@smu1987f	@smu1987f	45.717	46.064	на
words@smu1987f	@smu1987f	46.064	46.411	на
words@smu1987f	@smu1987f	46.411	46.758	таком
words@smu1987f	@smu1987f	46.758	47.105	уровне
words@smu1987f	@smu1987f	47.105	47.452	который
words@smu1987f	@smu1987f	47.452	47.799	требует
words@smu1987f	@smu1987f	47.799	48.146	этот
words@smu1987f	@smu1987f	48.146	48.493	турнир
words@smu1987f	@smu1987f	48.493	48.84	/
words@smu1987f	@smu1987f	48.84	49.2	/
words@smu1987f	@smu1987f	53.84	55.3	#смеется#
words@smu1987f	@smu1987f	55.3	56.76	#залгудит#
words@smu1987f	@smu1987f	56.76	58.22	#машетрукой#
words@smu1987f	@smu1987f	58.232	58.439	У
words@smu1987f	@smu1987f	58.439	58.646	всех
words@smu1987f	@smu1987f	58.646	58.853	телефоны
words@smu1987f	@smu1987f	58.853	59.06	да
words@smu1987f	@smu1987f	59.06	59.267	?
words@smu1987f	@smu1987f	59.267	59.474	/
words@smu1987f	@smu1987f	59.474	59.686	/
words@smu1987f	@smu1987f	59.726	60.047	Все
words@smu1987f	@smu1987f	60.047	60.368	понятно
words@smu1987f	@smu1987f	60.368	60.689	/
words@smu1987f	@smu1987f	60.689	61.01	/
words@smu1987f	@smu1987f	62.12	62.358	А
words@smu1987f	@smu1987f	62.358	62.596	они
words@smu1987f	@smu1987f	62.596	62.834	даже
words@smu1987f	@smu1987f	62.834	63.072	на
words@smu1987f	@smu1987f	63.072	63.31	меня
words@smu1987f	@smu1987f	63.31	63.548	не
words@smu1987f	@smu1987f	63.548	63.786	смотрят
words@smu1987f	@smu1987f	63.786	64.024	а
words@smu1987f	@smu1987f	64.024	64.262	смотрят
words@smu1987f	@smu1987f	64.262	64.5	в
words@smu1987f	@smu1987f	64.5	64.738	телефон
words@smu1987f	@smu1987f	64.738	64.976	/
words@smu1987f	@smu1987f	64.976	65.225	/
